fly position,center of mass,laser status
141.82,141.82,0
153.88,153.88,0
167.7,167.7,0
170.39,170.39,0
172.1,172.1,0
180.74,180.74,0
187.95,187.95,0
203.88,203.88,0
212.22,212.22,0
218.64,218.64,0
223,223,0
227.38,227.38,0
230.2,230.2,0
238.55,238.55,0
246.9,246.9,0
255.56,255.56,0
264.8,264.8,0
272.09,272.09,0
278.08,278.08,0
279.18,279.18,0
285,285,0
292.4,292.4,0
303.71,303.71,0
314.37,314.37,0
327.35,327.35,0
342.07,342.07,0
348.6,348.6,0
353.14,353.14,0
358.62,358.62,0
364.6,364.6,0
373.34,373.34,0
383.09,383.09,0
392.11,392.11,0
403.07,403.07,0
414.54,414.54,0
429,429,0
443.4,443.4,0
456.41,456.41,0
469.57,469.57,0
476.01,476.01,0
476.42,476.42,0
479.42,479.42,0
483.23,483.23,0
487.59,487.59,0
492.73,492.73,0
497.43,497.43,0
499.22,499.22,0
501.77,501.77,0
506.64,506.64,0
516.67,516.67,0
529.46,529.46,0
540.02,540.02,0
551.03,551.03,0
555.74,555.74,0
558.18,558.18,0
558.61,558.61,0
555.44,555.44,0
557.83,557.83,0
561.36,561.36,0
572.18,572.18,0
583.65,583.65,0
595.32,595.32,0
603.05,603.05,0
611.15,611.15,0
618.29,618.29,0
628.01,628.01,0
639.6,639.6,0
650.05,650.05,0
662.05,662.05,0
672.25,672.25,0
678.07,678.07,0
679.98,679.98,0
685.94,685.94,0
692.68,692.68,0
699.08,699.08,0
705.43,705.43,0
714.09,714.09,0
721.15,721.15,0
727.69,727.69,0
734.82,734.82,0
739.79,739.79,0
739.73,739.73,0
743.45,743.45,0
748.22,748.22,0
753.65,753.65,0
757.99,757.99,0
758.38,758.38,0
758.26,758.26,0
756.75,756.75,0
759.47,759.47,0
761.67,761.67,0
763.13,763.13,0
767,765.31,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,738.73,0
739.75,739.75,0
742.05,742.05,0
737.42,737.42,0
737.42,NaN,0
737.42,NaN,0
737.42,730.75,0
737.42,NaN,0
737.42,719.08,0
715.19,715.19,0
714.32,714.32,0
711.4,711.4,0
710.1,710.1,0
704.08,704.08,0
698.6,698.6,0
692.48,692.48,0
684.68,684.68,0
677.2,677.2,0
674.26,674.26,0
668.65,668.65,0
661.51,661.51,0
653.05,653.05,0
642.48,642.48,0
631.85,631.85,0
627.47,627.47,0
617.91,617.91,0
608.12,608.12,0
604,604,0
594.39,594.39,0
583.53,583.53,0
575.96,575.96,0
570.09,570.09,0
559.61,559.61,0
547.38,547.38,0
538.23,538.23,0
529.21,529.21,0
522.79,522.79,0
514.45,514.45,0
505.74,505.74,0
496.99,496.99,0
487.72,487.72,0
476.64,476.64,0
465.99,465.99,0
452.26,452.26,0
439.02,439.02,0
437.06,437.06,0
439.23,439.23,0
432.51,432.51,0
424.52,424.52,0
414.13,414.13,0
401.69,401.69,0
389.17,389.17,0
375.87,375.87,0
362.28,362.28,0
349.69,349.69,0
347.05,347.05,0
342.13,342.13,0
336.16,336.16,0
327.09,327.09,0
316.43,316.43,0
304.36,304.36,0
292.17,292.17,0
277.73,277.73,0
264.08,264.08,0
253.59,253.59,0
246.12,246.12,0
242.85,242.85,0
241.11,241.11,0
244.54,244.54,0
246.92,246.92,0
246.84,246.84,0
248.62,248.62,0
253.17,253.17,0
271.72,271.72,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
271.72,NaN,0
